session,range_mean,range_max,ATR_14_mean,ATR_14_max,return_mean,return_std,abs_return_mean,abs_return_std,efficiency_mean,timeframe
Asia,232.65943360062585,8275.86,254.526838953927,1840.3242857142864,-0.18608801095246702,199.57740197468516,112.13954625464505,165.09210841625858,0.9152405963238537,30m
Asia + London Overlap,216.72990695128624,2418.550000000003,224.59400637266404,1576.157857142857,0.6361439518336415,184.0683643176063,106.74024904214558,149.9498843908138,0.9873251516322347,30m
London,237.7940383141763,6587.3499999999985,220.5781514973806,1917.249285714285,2.7191023535851295,199.46932542377857,112.99615873015874,164.39761228044247,1.0969713571534108,30m
London + NY Overlap,334.9194184455392,5764.050000000003,250.06131314019868,2187.214999999999,0.4313902572523459,287.1185263464428,162.2297509578544,236.88634485642478,1.3339209489081914,30m
New York,300.40249397590367,5306.710000000006,296.7492850884056,3014.5707142857127,0.4239200438115709,244.16488667911707,142.44656188389925,198.304153571438,1.0204979164008463,30m
Other,263.3209788341668,7083.759999999995,291.69694891039507,2285.7685714285703,2.5716932666620957,223.08870671991414,126.58862730323996,183.7101163015182,0.9267148684598278,30m
Asia,334.2402229698013,8275.86,394.6897486979458,3550.54,-0.5109912376779631,279.1054550626048,157.21739242685027,230.60978683981932,0.8521506222015064,1h
Asia + London Overlap,313.64718510405265,3235.5599999999977,354.63134838053514,2163.30571428571,1.2143373493976088,262.6066468749993,152.8109857612267,213.54094188276525,0.8894022241868774,1h
London,341.4356232201534,7442.230000000003,340.6692528555782,2291.0299999999997,5.234090909090922,274.5772888692529,157.39944906900325,225.03952068603974,1.0212369232708292,1h
London + NY Overlap,486.927490421456,7394.209999999999,347.3384293142545,2529.5714285714284,0.616059113300509,402.0011702115789,236.27386973180083,325.21484731273,1.4051961490459406,1h
New York,430.3335801117075,6783.3399999999965,373.68770600935596,3151.238571428571,0.7128759172050976,347.3392394815833,200.87424926076005,283.35520459013327,1.1626533218699666,1h
Other,376.8297849609643,7083.759999999995,401.9719204805604,3434.988571428571,5.0734173400903835,301.24405775184954,175.85859471305298,244.62878737765246,0.9577609201642009,1h
Asia,1989.7708269018742,13591.699999999997,1982.8397830366987,6194.376428571429,47.08542998897467,1469.5448328239406,932.5182414553475,1136.5343655069155,1.0150610620641292,1d
